,task_id,base_auc,base_time,new_auc,new_time,delta_auc,better_auc,better_time
0,16,0.997222222222222,31.225132703781128,0.99825,12.757061958312988,0.0010277777777779606,True,True
1,22,0.9733611111111112,25.774229764938354,0.9663333333333333,12.422971248626709,-0.007027777777777966,False,True
2,31,0.8419047619047619,1.274991750717163,0.8204761904761904,0.7279617786407471,-0.021428571428571574,False,True
3,2074,0.989415927959244,18.24099898338318,0.9914490637757601,15.412040710449219,0.002033135816516096,True,True
4,2079,0.9154358409230046,3.3699986934661865,0.9223247479742994,2.988996982574463,0.006888907051294857,True,True
5,3493,0.9761904761904762,0.5399148464202881,0.8999999999999999,0.47300195693969727,-0.07619047619047625,False,True
6,3907,0.9858662613981763,2.7709572315216064,0.9213525835866262,2.203002452850342,-0.06451367781155015,False,True
7,3913,0.9069264069264068,0.5590014457702637,0.8961038961038961,0.5079991817474365,-0.010822510822510734,False,True
8,9950,0.996220608095608,32.78696084022522,0.9928089673484412,25.729999780654907,-0.003411640747166822,False,True
9,9952,0.9560242352398828,2.991995334625244,0.9564852316506965,2.2610416412353516,0.0004609964108137632,True,True
10,9971,0.6680672268907563,0.6249632835388184,0.6918767507002801,0.5099585056304932,0.023809523809523836,True,True
11,10106,0.99929676511955,9.77699875831604,0.9992967651195499,3.6799609661102295,-1.1102230246251565e-16,False,True
12,14954,0.9102384291725104,0.8310418128967285,0.9186535764375876,1.0889976024627686,0.008415147265077194,True,False
13,14970,0.9998436412520308,748.1551377773285,0.999982141591469,71.85499668121338,0.00013850033943818563,True,True
14,146212,0.9999984206356984,30.16596937179565,0.9999896009486854,41.70971894264221,-8.819687013050803e-06,False,False
15,167119,0.9690219393001712,34.102057456970215,0.9731176585328724,25.926018476486206,0.004095719232701134,True,True
16,167125,0.962804502004317,64.66799926757812,0.9639993832870799,30.680670738220215,0.0011948812827629052,True,True
17,168336,0.7358314002301283,170.24288940429688,0.7481594781439008,135.4510428905487,0.01232807791377255,True,True
